date,cash,position_value,total_value,positions
2026-01-02,41522705.0,58477295.0,100000000.0,10
2026-01-05,48056919.0,53533545.0,101590464.0,10
2026-01-06,50374819.5,53048242.0,103423061.5,10
2026-01-07,48159717.5,56394375.0,104554092.5,10
2026-01-08,48159717.5,56428365.0,104588082.5,10
2026-01-09,45745080.5,58823170.0,104568250.5,10
2026-01-12,46418780.5,58007632.0,104426412.5,10
2026-01-13,46655235.75,58706375.0,105361610.75,10
2026-01-14,48542310.75,58534985.0,107077295.75,10
2026-01-15,49301305.75,59180365.0,108481670.75,10
2026-01-16,49652369.75,58879641.0,108532010.75,10
2026-01-19,49731419.75,59964254.0,109695673.75,10
2026-01-20,50284744.75,59145334.0,109430078.75,10
2026-01-21,49361303.75,60327882.0,109689185.75,10
2026-01-22,50717923.75,58990991.0,109708914.75,10
2026-01-23,49256055.75,61049961.0,110306016.75,10
2026-01-26,47923206.25,65306561.0,113229767.25,10
2026-01-27,51362003.75,63126589.0,114488592.75,10
2026-01-28,51362003.75,65161947.0,116523950.75,10
2026-01-29,51064552.150000006,65618161.0,116682713.15,10
2026-01-30,52605337.55000001,64796908.0,117402245.55000001,10
2026-02-02,52232157.16000001,63316075.0,115548232.16000001,10
2026-02-03,49704053.360000014,67698710.0,117402763.36000001,10
2026-02-04,53862503.360000014,66374195.0,120236698.36000001,10
2026-02-05,57364684.860000014,63824335.0,121189019.86000001,10
2026-02-06,54329582.610000014,66645473.0,120975055.61000001,10
2026-02-09,55646124.110000014,66554871.0,122200995.11000001,10
2026-02-10,55646124.110000014,67083015.0,122729139.11000001,10
2026-02-11,56150414.110000014,66370290.0,122520704.11000001,10
2026-02-12,57410444.110000014,66003267.0,123413711.11000001,10
2026-02-13,57410444.110000014,65622684.0,123033128.11000001,10
2026-02-19,57410444.110000014,67388220.0,124798664.11000001,10
2026-02-20,58120270.610000014,67317960.0,125438230.61000001,10
2026-02-23,57037526.610000014,69096588.0,126134114.61000001,10
2026-02-24,57037526.610000014,69926297.0,126963823.61000001,10
2026-02-25,58126326.610000014,68029801.0,126156127.61000001,10
2026-02-26,54702790.55000003,69658616.0,124361406.55000003,10
2026-02-27,53527439.55000003,71222090.0,124749529.55000003,10
2026-03-03,49760437.030000016,70336497.0,120096934.03000002,10
2026-03-04,40409260.110000014,75463348.0,115872608.11000001,10
2026-03-05,38997639.750000015,71592534.0,110590173.75000001,10
2026-03-06,47819609.49000002,64812964.0,112632573.49000001,10
2026-03-09,50554374.69000003,61341785.0,111896159.69000003,10
2026-03-10,48351254.81000003,62291524.0,110642778.81000003,10
2026-03-11,48510739.81000003,61663285.0,110174024.81000003,10
2026-03-12,48510739.81000003,61503163.0,110013902.81000003,10
2026-03-13,47707198.11000004,61779946.0,109487144.11000004,10
